,cord_uid,affiliations,location
16793,f30dw3cn,"Lei Li (Vaxine Pty Ltd ; 5042 ; Bedford Park, Adelaide ; Australia) ; Nikolai Petrovsky (Vaxine Pty Ltd ; 5042 ; Bedford Park, Adelaide ; Australia)","5042 ; Bedford Park, Adelaide ; Australia ; 5042 ; Bedford Park, Adelaide ; Australia"
16794,yfsqa35g,,
16795,0m32ecnu,,
16796,sqdgwrt0,,
16797,63aydo38,,
16798,exkm0o6p,,
16799,qgurte98,,
16800,c1ribu7f,,
16801,7roekt1d,,
16802,13usv1v3,,
16803,rfdk96mj,,
16804,l5t8gm6w,,
16805,8ujmh4py,,
16806,30om4ip7,,
16807,ram8uzi1,,
16808,e4y88pw9,,
16809,f48cdufd,Amy Papaneri ; John Bernbaum ; B S  ; Joseph E Blaney ; Peter B Jahrling ; Matthias Schnell ; Reed F Johnson,  ;   ;   ;   ;   ;   ;  
16810,w0ftvpqb,,
16811,n0yvwl3a,,
16812,sdy6lbew,Stella U Kalu (University of Texas ; Galveston ; TX) ; Michael Loeffelholz (University of Texas ; Galveston ; TX) ; Eric Beck (Medical College of Wisconsin ; Milwaukee ; WI) ; Janak A Patel (University of Texas ; Galveston ; TX) ; Krystal Revai (University of Texas ; Galveston ; TX) ; Jiang Fan (Medical College of Wisconsin ; Milwaukee ; WI) ; Kelly J Henrickson (Medical College of Wisconsin ; Milwaukee ; WI) ; Tasnee Chonmaitree (University of Texas ; Galveston ; TX),Galveston ; TX ; Galveston ; TX ; Milwaukee ; WI ; Galveston ; TX ; Galveston ; TX ; Milwaukee ; WI ; Milwaukee ; WI ; Galveston ; TX
16813,s7nj4m9g,,
16814,w6jbs0xq,,
16815,1wely8ir,,
16816,k5ktkkak,,
16817,8ougfpvb,,
16818,hl325lk1,,
16819,ioxg89ly,,
16820,fiy20fwa,,
16821,qocg4rk8,,
16822,p6ia71ml,,
16823,nlwkje4d,,
16824,26vngtlz,,
16825,ws2ohm02,"Ann Marie Matlock (National Institutes of Health Clinical Center ; Bethesda, Md) ; Debbie C Ne-Bc (National Institutes of Health Clinical Center ; Bethesda, Md) ; Gwenyth R Gutierrez (National Institutes of Health Clinical Center ; Bethesda, Md) ;  Wallen (National Institutes of Health Clinical Center ; Bethesda, Md)","Bethesda, Md ; Bethesda, Md ; Bethesda, Md ; Bethesda, Md"
16826,rasan02f,,
16827,cdna0hk4,,
16828,0mz8eo6y,,
16829,7bpepfa9,,
16830,bl6ih0yf,Kasia A Pawelek (University of South Carolina Beaufort ; 29909 ; Bluffton ; SC ; USA) ; Cristian Salmeron (University of South Carolina Beaufort ; 29909 ; Bluffton ; SC ; USA) ; Sara Del Valle (University of South Carolina Beaufort ; 29909 ; Bluffton ; SC ; USA),29909 ; Bluffton ; SC ; USA ; 29909 ; Bluffton ; SC ; USA ; 29909 ; Bluffton ; SC ; USA
16831,ueaoipgl,,
16832,tg7jqiso,,
16833,vbktrn45,Takeshi Kobayashi (Vanderbilt University School of Medicine ; 37232 ; Nashville ; Tennessee ; USA) ; Laura S Ooms (Vanderbilt University School of Medicine ; 37232 ; Nashville ; Tennessee ; USA) ; James D Chappell (Vanderbilt University School of Medicine ; 37232 ; Nashville ; Tennessee ; USA) ; Terence S Dermody (Vanderbilt University School of Medicine ; 37232 ; Nashville ; Tennessee ; USA),37232 ; Nashville ; Tennessee ; USA ; 37232 ; Nashville ; Tennessee ; USA ; 37232 ; Nashville ; Tennessee ; USA ; 37232 ; Nashville ; Tennessee ; USA
16834,0unugi9a,,
16835,gzrid9ey,John M David (Western University of Health Science ; 309 East Second St ; 91766-1854 ; Pomona ; CA) ; Edward J Dick ; Gene B Hubbard,309 East Second St ; 91766-1854 ; Pomona ; CA ;   ;  
16836,hdzeu17d,,
16837,ql7tq62p,Megan Rw Barber (University of Alberta ; T6G 2E9 ; Edmonton ; AB ; Canada) ; Jerry R B Aldridge (St. Jude Children's Research Hospital ; 38105 ; Memphis ; TN ; USA) ; Ximena Fleming-Canepa (University of Alberta ; T6G 2E9 ; Edmonton ; AB ; Canada) ; Yong-Dong Wang (St. Jude Children's Research Hospital ; 38105 ; Memphis ; TN ; USA) ; Robert G Webster (St. Jude Children's Research Hospital ; 38105 ; Memphis ; TN ; USA) ; Katharine E Magor (University of Alberta ; T6G 2E9 ; Edmonton ; AB ; Canada),T6G 2E9 ; Edmonton ; AB ; Canada ; 38105 ; Memphis ; TN ; USA ; T6G 2E9 ; Edmonton ; AB ; Canada ; 38105 ; Memphis ; TN ; USA ; 38105 ; Memphis ; TN ; USA ; T6G 2E9 ; Edmonton ; AB ; Canada
16838,nnjptqmz,,
16839,fyl8tx0i,Brian B Gowen (Utah State University ; Logan ; UT ; USA) ; Kie-Hoon Jung (Utah State University ; Logan ; UT ; USA) ; Eric J Sefing (Utah State University ; Logan ; UT ; USA) ; Min-Hui Wong (Utah State University ; Logan ; UT ; USA) ; Jonna B Westover (Utah State University ; Logan ; UT ; USA) ; Donald F Smee (Utah State University ; Logan ; UT ; USA),Logan ; UT ; USA ; Logan ; UT ; USA ; Logan ; UT ; USA ; Logan ; UT ; USA ; Logan ; UT ; USA ; Logan ; UT ; USA
16840,x9v5itzo,,
16841,h8so17o4,,
16842,cleeonin,,
16843,y8ak9pl8,,
16844,s6j93aw4,,
16845,8n0mwad5,David M Morens (National Institutes of Health ; Bethesda ; Maryland) ; Jeffery K Taubenberger (National Institutes of Health ; Bethesda ; Maryland) ; Hillery A Harvey (National Institutes of Health ; Bethesda ; Maryland) ; Matthew J Memoli (National Institutes of Health ; Bethesda ; Maryland),Bethesda ; Maryland ; Bethesda ; Maryland ; Bethesda ; Maryland ; Bethesda ; Maryland
16846,1k3g4fkz,,
16847,93m5oo0u,,
16848,vhac2hqj,,
16849,8lv7sfvu,,
16850,3n9dvawa,,
16851,iub5hvz9,,
16852,qgt3tyf9,,
16853,kk8fn04s,,
16854,xz0385np,,
16855,239mwqkt,,
16856,p8n8va3y,Min Hyeok Kim ; Sangjae Seo ; Jay Il Jeong (Kookmin University ; 136-702 ; Seoul ; Korea) ; Bum Joon Kim (Sungkyunkwan University ; 440-746 ; Suwon ; Korea) ; Wing Kam Liu (Northwestern University ; 60208 ; Evanston ; Illinois) ; Byeong Soo Lim (Sungkyunkwan University ; 440-746 ; Suwon ; Korea) ; Jae Boong Choi (Sungkyunkwan University ; 440-746 ; Suwon ; Korea) ; Moon Ki Kim (Sungkyunkwan University ; 440-746 ; Suwon ; Korea),  ;   ; 136-702 ; Seoul ; Korea ; 440-746 ; Suwon ; Korea ; 60208 ; Evanston ; Illinois ; 440-746 ; Suwon ; Korea ; 440-746 ; Suwon ; Korea ; 440-746 ; Suwon ; Korea
16857,moit3iy1,,
16858,mejswoe2,,
16859,i8667tt3,,
16860,jsi3l0zu,,
16861,mhrtbdft,,
16862,k45p9g4h,,
16863,aydgtz49,,
16864,f944lv4t,,
16865,y14kw98d,Pablo Carravilla (University of the Basque Country (UPV/EHU) ; Bilbao ; Spain) ; Antonio Cruz (Complutense University ; Madrid ; Spain;) ; Itziar Martin-Ugarte (University of the Basque Country (UPV/EHU) ; Bilbao ; Spain) ; Itziar R Oar-Arteta (University of the Basque Country (UPV/EHU) ; Bilbao ; Spain) ; Johanna Torralba (University of the Basque Country (UPV/EHU) ; Bilbao ; Spain) ; Beatriz Apellaniz (University of the Basque Country (UPV/EHU) ; Bilbao ; Spain) ; Jesú S P Erez-Gil (University of the Basque Country (UPV/EHU) ; Bilbao ; Spain) ; Jos  ; Requejo-Isidro  ; Nerea Huarte (University of the Basque Country (UPV/EHU) ; Bilbao ; Spain) ; L Nieva (University of the Basque Country (UPV/EHU) ; Bilbao ; Spain),Bilbao ; Spain ; Madrid ; Spain; ; Bilbao ; Spain ; Bilbao ; Spain ; Bilbao ; Spain ; Bilbao ; Spain ; Bilbao ; Spain ;   ;   ; Bilbao ; Spain ; Bilbao ; Spain
16866,2ok5qg2h,,
16867,rkt6ea5o,,
16868,wh8ap3qw,,
16869,1svwclby,,
16870,q23zf9mj,,
16871,emai53ts,,
16872,8oc7iq2p,,
16873,n9gpg2yc,,
16874,40eehtgy,,
16875,rl1sxssb,,
16876,ciq7kckf,,
16877,0863gwzz,,
16878,j7g4obni,,
16879,wllssxds,,
16880,a5tdhlp4,,
16881,a9a9qyn5,,
16882,3xn0de2h,,
16883,de6f2xcr,,
16884,6lhp18i0,,
16885,cm96jkke,,
16886,01e0d8z9,,
16887,sm0jy69i,,
16888,yfibs3eh,,
16889,4blktdx2,,
16890,7a6q4d3h,Erin E Thacker ; Laura Timares ; Qiana L Matthews,  ;   ;  
16891,h7ehzdyt,,
16892,wp3gzxc2,Stuti Mehta (Harvard Medical School ; Boston ; MA ; USA) ; Kate L Jeffrey (Harvard Medical School ; Boston ; MA ; USA),Boston ; MA ; USA ; Boston ; MA ; USA
16893,sxtk2ssw,,
16894,w4y3bmlp,,
16895,eyhu65c8,E Sweeney (University of Pennsylvania ; 19104 ; Philadelphia ; Pennsylvania) ; M Campbell (University of Pennsylvania ; 19104 ; Philadelphia ; Pennsylvania) ; K Watkins (University of Pennsylvania ; 19104 ; Philadelphia ; Pennsylvania) ; C A Hunter (University of Pennsylvania ; 19104 ; Philadelphia ; Pennsylvania) ; O Jacenko (University of Pennsylvania ; 19104 ; Philadelphia ; Pennsylvania),19104 ; Philadelphia ; Pennsylvania ; 19104 ; Philadelphia ; Pennsylvania ; 19104 ; Philadelphia ; Pennsylvania ; 19104 ; Philadelphia ; Pennsylvania ; 19104 ; Philadelphia ; Pennsylvania
16896,mbbsnme0,Mark D Hicar (Vanderbilt University Medical Center ; 37232 ; Nashville ; TN ; USA) ; Spyros A Kalams (Vanderbilt University Medical Center ; 37232 ; Nashville ; TN ; USA) ; Paul W Spearman (Emory University School of Medicine ; 30322 ; Atlanta ; GA ; USA) ; James E Crowe (Vanderbilt University Medical Center ; 37232 ; Nashville ; TN ; USA),37232 ; Nashville ; TN ; USA ; 37232 ; Nashville ; TN ; USA ; 30322 ; Atlanta ; GA ; USA ; 37232 ; Nashville ; TN ; USA
16897,169odgbk,,
16898,40755491,,
16899,915ci3mx,,
16900,njfan7dp,Klaus Bønnelykke (University of Copenhagen ; Copenhagen ; Denmark) ; Amaziah T Coleman ; Michael D Evans (University of Wisconsin-Madison ; Madison ; Wisconsin) ; Jonathan Thorsen (University of Copenhagen ; Copenhagen ; Denmark) ; Johannes Waage (University of Copenhagen ; Copenhagen ; Denmark) ; Nadja H Vissing (University of Copenhagen ; Copenhagen ; Denmark) ; Christian J Carlsson (University of Copenhagen ; Copenhagen ; Denmark) ; Jakob Stokholm (University of Copenhagen ; Copenhagen ; Denmark) ; Bo L Chawes (University of Copenhagen ; Copenhagen ; Denmark) ; Leon E Jessen (University of Copenhagen ; Copenhagen ; Denmark) ; Thea K Fischer (Statens Serum Institut ; Copenhagen ; Denmark) ; Yury A Bochkov ; Carole Ober (University of Chicago ; Chicago ; Illinois) ; Robert F Lemanske ; Daniel J Jackson ; James E Gern ; Hans Bisgaard (University of Copenhagen ; Copenhagen ; Denmark) ; K B  ; H B  ; A T C  ; J E G ,Copenhagen ; Denmark ;   ; Madison ; Wisconsin ; Copenhagen ; Denmark ; Copenhagen ; Denmark ; Copenhagen ; Denmark ; Copenhagen ; Denmark ; Copenhagen ; Denmark ; Copenhagen ; Denmark ; Copenhagen ; Denmark ; Copenhagen ; Denmark ;   ; Chicago ; Illinois ;   ;   ;   ; Copenhagen ; Denmark ;   ;   ;   ;  
16901,hfo64izp,,
16902,9ijlj4so,"Wenhui Li (New England Primate Research Center ; Southborough ; MA ; USA) ; Chengsheng Zhang (McMaster University ; Hamilton ; Ontario ; Canada) ; Jianhua Sui (Harvard Medical School ; Boston ; MA ; USA) ; Jens H Kuhn (New England Primate Research Center ; Southborough ; MA ; USA) ; Michael J Moore (New England Primate Research Center ; Southborough ; MA ; USA) ; Shiwen Luo (Hong Kong SAR, PRC) ; Swee-Kee Wong (New England Primate Research Center ; Southborough ; MA ; USA) ; I-Chueh Huang (New England Primate Research Center ; Southborough ; MA ; USA) ; Keming Xu (Hong Kong SAR, PRC) ; Natalya Vasilieva (Harvard Medical School ; Boston ; MA ; USA) ; Akikazu Murakami (Harvard Medical School ; Boston ; MA ; USA) ; Yaqing He ; Wayne A Marasco (Harvard Medical School ; Boston ; MA ; USA) ; Yi Guan (Hong Kong SAR, PRC) ; Hyeryun Choe (Harvard Medical School ; Boston ; MA ; USA) ; Michael Farzan (New England Primate Research Center ; Southborough ; MA ; USA)",Southborough ; MA ; USA ; Hamilton ; Ontario ; Canada ; Boston ; MA ; USA ; Southborough ; MA ; USA ; Southborough ; MA ; USA ;   ; Southborough ; MA ; USA ; Southborough ; MA ; USA ;   ; Boston ; MA ; USA ; Boston ; MA ; USA ;   ; Boston ; MA ; USA ;   ; Boston ; MA ; USA ; Southborough ; MA ; USA
16903,qnxzm93q,,
16904,e5aau2s0,,
16905,kjkixcx7,,
16906,fo53qja4,Daolin Tang (University of Pittsburgh Cancer Institute ; Pittsburgh ; PA ; USA) ; Rui Kang (University of Pittsburgh Cancer Institute ; Pittsburgh ; PA ; USA) ; Carolyn B Coyne (University of Pittsburgh ; Pittsburgh ; PA ; USA) ; Herbert J Zeh (University of Pittsburgh Cancer Institute ; Pittsburgh ; PA ; USA) ; Michael T Lotze (University of Pittsburgh Cancer Institute ; Pittsburgh ; PA ; USA),Pittsburgh ; PA ; USA ; Pittsburgh ; PA ; USA ; Pittsburgh ; PA ; USA ; Pittsburgh ; PA ; USA ; Pittsburgh ; PA ; USA
16907,owdulq9l,,
16908,liw3afn9,,
16909,7i1bhyuy,,
16910,o99ftusz,,
16911,z3415sta,,
16912,r7o7sxq2,,
16913,y4n1gqeb,,
16914,ydbwj7ug,,
16915,yxfz3lkv,,
16916,tkfd8qgk,,
16917,r6r9mvtp,,
16918,4atteo5z,,
16919,45jyf3ur,,
16920,nqyxlcn7,,
16921,lsoyra49,,
16922,gu5zym9r,,
16923,sr34zy46,,
16924,k85v6nac,,
16925,fmw38m95,"Daniel J Morgan (University of Maryland ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.)) ; Stephen Y Liang (University of Maryland ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.)) ; Catherine L Smith (University of Maryland ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.)) ; J Kristie Johnson (University of Maryland ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.)) ; Anthony D Harris (University of Maryland ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.)) ; Jon P Furuno (University of Maryland ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.)) ; Kerri A Thom (University of Maryland ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.)) ; Graham M Snyder (University of Maryland ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.)) ; Hannah R Day (University of Maryland ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.)) ; Eli N Perencevich (University of Maryland ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.)) ; D J M  (University of Maryland ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.)) ; A D H  (University of Maryland ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.)) ; J P F  (University of Maryland ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.)) ; K A T  (University of Maryland ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.)) ; H D  (University of Maryland ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.))","Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.) ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.) ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.) ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.) ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.) ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.) ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.) ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.) ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.) ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.) ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.) ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.) ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.) ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.) ; Baltimore ; E.N.P.), Medicine (S.Y.L., C.L.S., G.M.S.), and Pathology (J.K.J.)"
16926,n7yyabor,,
16927,zo4ac4eq,,
16928,cnbt6uo8,,
16929,sm7y9r2p,,
16930,gsbldbdn,Jane E Libbey ; Robert S Fujinami,  ;  
16931,cdrd7o5t,,
16932,sgrvasrq,,
16933,0rykdhqe,Jin You ; Helene H L Fung ; Derek M Isaacowitz,  ;   ;  
16934,i0b2krr1,,
16935,h1xzj01e,Lanying Du ; Guangyu Zhao ; Chris Cs Chan ; Lin Li ; Yuxian He ; Yusen Zhou ; Bo-Jian Zheng ; Shibo Jiang,  ;   ;   ;   ;   ;   ;   ;  
16936,jfo82x7y,,
16937,kpbq2s0b,,
16938,kjykmjrg,,
16939,tdbrt7rk,,
16940,4zig6oh3,,
16941,0muvg348,David W Volk (University of Pittsburgh ; 15213 ; Pittsburgh ; PA),15213 ; Pittsburgh ; PA
16942,6adxpwj1,,
16943,dtndzyqa,,
16944,nkxr16mt,,
16945,cyt74vgp,,
16946,ehjxsmuk,,
16947,5ael0my9,,
16948,sdr7dkbg,,
16949,486uf8cu,,
16950,7r8vf5nz,,
16951,8j0q02nb,,
16952,5i5nflrc,,
16953,zt9fg3qs,,
16954,y1at39bn,,
16955,vl872vvm,,
16956,3u68kcuk,,
16957,ck01ds29,,
16958,b9k962oo,,
16959,tzxnlw0j,,
16960,x2hg2ipf,,
16961,ezot11ln,,
16962,qb9dydi7,,
16963,3r4xzy22,,
16964,pcr9oile,,
16965,2q9zu2ql,,
16966,z9bvu1p1,,
16967,pckjqqeh,,
16968,2r9jc2hn,,
16969,aexnzh04,,
16970,2nsmr399,J L Harcourt ; L M Haynes,  ;  
16971,pvup3pye,,
16972,vcpeyzvs,,
16973,qj1x30ni,,
16974,k8ye3jna,,
16975,3hcj0w3f,,
16976,fbof3zkm,,
16977,p5ndmjnz,,
16978,7bn49rgs,,
16979,x1nctncp,,
16980,ssp9ywxl,Kleber Juvenal ; Silva Farias ; Paula Renata ; Lima Machado ; José Augusto Pereira ; Carneiro Muniz ; Aline Amaral Imbeloni ; Benedito Antô ; Nio Lopes Da Fonseca,  ;   ;   ;   ;   ;   ;   ;   ;  
16981,szz0xike,,
16982,rlzfyfkl,Sonlee D West (the University of New Mexico School of Medicine) ; Anna Ziegler (the University of New Mexico School of Medicine) ; Tamara Brooks (University of New Mexico School of Medicine) ; Michael Krencicki (the University of New Mexico School of Medicine) ; Orrin Myers (University of New Mexico School of Medicine) ; Carolyn Mold (University of New Mexico School of Medicine),  ;   ;   ;   ;   ;  
16983,2f0fsz5g,,
16984,fssix0tw,,
16985,xp1n1tsr,,
16986,hfwvxtlu,Aruna Sampath (University ; 38677 ; MS) ; R Padmanabhan (Georgetown University School of Medicine ; 20057 ; Washington ; DC),38677 ; MS ; 20057 ; Washington ; DC
16987,kk4h1966,,
16988,wjqiytne,Nicole L Yates (Wake Forest University School of Medicine ; Winston-Salem ; 27157 ; NC) ; Martha A Alexander-Miller (Wake Forest University School of Medicine ; Winston-Salem ; 27157 ; NC),Winston-Salem ; 27157 ; NC ; Winston-Salem ; 27157 ; NC
16989,8ivus94e,,
16990,so23ak52,,
16991,crlhkrhh,Yongbo Yang (University of Hawai'i ; Honolulu ; Hawaii) ; Chengxiang Wu (University of Hawai'i ; Honolulu ; Hawaii) ; Jianguo Wu (Wuhan University ; Wuhan ; P.R. China) ; Vivek R Nerurkar (University of Hawai'i ; Honolulu ; Hawaii) ; Richard Yanagihara (University of Hawai'i ; Honolulu ; Hawaii) ; Yuanan Lu (University of Hawai'i ; Honolulu ; Hawaii),Honolulu ; Hawaii ; Honolulu ; Hawaii ; Wuhan ; P.R. China ; Honolulu ; Hawaii ; Honolulu ; Hawaii ; Honolulu ; Hawaii
16992,77dt4hfe,William M Schneider (The Rockefeller University ; 10065 ; New York ; NY) ; Dittmann Chevillotte (The Rockefeller University ; 10065 ; New York ; NY) ; Charles M Rice (The Rockefeller University ; 10065 ; New York ; NY),10065 ; New York ; NY ; 10065 ; New York ; NY ; 10065 ; New York ; NY
16993,y0s0yydl,,
16994,d105377e,,
16995,pcbi8qfa,,
16996,3recpxm5,Naeha Subramanian ; Parizad Torabi-Parizi (National Institutes of Health ; 20892 ; Bethesda ; MD) ; Rachel A Gottschalk (National Institutes of Health ; 20892 ; Bethesda ; MD) ; Ronald N Germain (National Institutes of Health ; 20892 ; Bethesda ; MD) ; Bhaskar Dutta (National Institutes of Health ; 20892 ; Bethesda ; MD),  ; 20892 ; Bethesda ; MD ; 20892 ; Bethesda ; MD ; 20892 ; Bethesda ; MD ; 20892 ; Bethesda ; MD
16997,m5isb4vj,,
16998,5qloeeq7,,
16999,h0wtbtsd,,
17000,uo4j7nax,Chris T Bauch (University of Waterloo ; N2L 3G1 ; Waterloo ; ON ; Canada) ; Alison P Galvani (Yale University ; 06520 ; New Haven ; CT ; USA),N2L 3G1 ; Waterloo ; ON ; Canada ; 06520 ; New Haven ; CT ; USA
17001,w7j1mpw2,,
17002,dnf8ngvd,,
17003,0zjdsaji,Chen Shuyue ; Hou Honghua ; Zeng Yanjun ; Xu Xiaomin,  ;   ;   ;  
17004,menw48x2,,
17005,ude849jq,,
17006,z0btwqnl,,
17007,vrr6abh4,,
17008,pnpaqchs,,
17009,py908dt8,,
17010,an2uexle,Jessica A Campbell ; Deborah J Lenschow,  ;  
17011,xwa2r8yp,Jinsu Kim (University of Houston ; 77204 ; Houston ; TX ; USA) ; Meena Adhikari (University of Houston ; 77204 ; Houston ; TX ; USA) ; Sagar Dhamane (University of Houston ; 77204 ; Houston ; TX ; USA) ; Anna E V Hagström (University of Houston ; 77204 ; Houston ; TX ; USA) ; Katerina Kourentzi (University of Houston ; 77204 ; Houston ; TX ; USA) ; Ulrich Strych (Baylor College of Medicine ; 77030 ; Houston ; TX ; USA) ; Richard C Willson (University of Houston ; 77204 ; Houston ; TX ; USA) ; Jacinta C Conrad (University of Houston ; 77204 ; Houston ; TX ; USA),77204 ; Houston ; TX ; USA ; 77204 ; Houston ; TX ; USA ; 77204 ; Houston ; TX ; USA ; 77204 ; Houston ; TX ; USA ; 77204 ; Houston ; TX ; USA ; 77030 ; Houston ; TX ; USA ; 77204 ; Houston ; TX ; USA ; 77204 ; Houston ; TX ; USA
17012,4ig1u900,,
17013,r20lqq9h,,
17014,e4vwvzx5,,
17015,5jhlyxe0,,
17016,yi33seco,,
17017,lsrrd2tq,,
17018,hlvfg1b2,,
17019,e11tqf7s,Pavlo Sakhatskyy ; Shixia Wang ; Chuanyou Zhang ; Te-Hui Chou ; Michael Kishko ; Shan Lu,  ;   ;   ;   ;   ;  
17020,zrcznzp3,,
17021,0mu5muvo,,
17022,3jr8a2p7,,
17023,qdtmclwe,,
17024,8nvgkn2c,,
17025,3b85cswa,,
17026,s8wnoee1,,
17027,m6mrpj1b,,
17028,43uxhges,+ +  (The Rockefeller University ; 10065 ; New York ; New York ; USA) ; Alexander Ploss (The Rockefeller University ; New York ; New York ; USA) ; +  (The Rockefeller University ; New York ; New York ; USA) ; Charles M Rice (The Rockefeller University ; New York ; New York ; USA) ; ++  (The Rockefeller University ; New York ; New York ; USA),10065 ; New York ; New York ; USA ; New York ; New York ; USA ; New York ; New York ; USA ; New York ; New York ; USA ; New York ; New York ; USA
17029,cg6sxo8x,,
17030,fufagf76,,
17031,d87b6wna,,
17032,h66nmybl,,
17033,4zb8bhfn,,
17034,uvs26373,,
17035,o7rhctkl,,
17036,mymr7ha9,,
17037,he8a92qa,,
17038,1oqxmzze,,
17039,ejhw0e8p,,
17040,bexzs0x6,,
17041,8u37alf0,,
17042,g8yzmtkj,Shixia Wang (University of Massachusetts Medical School ; 364 Plantation Street ; 01605 ; Worcester ; MA) ; Shan Lu (University of Massachusetts Medical School ; 364 Plantation Street ; 01605 ; Worcester ; MA),364 Plantation Street ; 01605 ; Worcester ; MA ; 364 Plantation Street ; 01605 ; Worcester ; MA
17043,zia0ckd1,,
17044,hkh3clh4,,
17045,zgxuktuc,,
17046,tbbl91j1,,
17047,3jcrteyp,,
17048,ws6kda16,,
17049,lhb53ann,,
17050,w5nyqksg,Patricia L Earl (National Institute of Allergy and Infectious Diseases Bethesda ; Maryland) ; Bernard Moss (National Institute of Allergy and Infectious Diseases Bethesda ; Maryland) ; Linda S Wyatt (National Institute of Allergy and Infectious Diseases Bethesda ; Maryland),Maryland ; Maryland ; Maryland
17051,wzsehht4,,
17052,vqsznhad,,
17053,a7hnuxy5,,
17054,lik7235n,,
17055,05ms1hdb,,
17056,d2psxeor,,
17057,ntmrthry,,
17058,lbx8tqws,,
17059,9afb0yvt,,
17060,t78fyys0,,
17061,xxy3fz7d,,
17062,jj3wzojy,"Jeffrey G Marblestone (Progenra Inc ; 19355 ; Malvern ; Pennsylvania ; USA) ; Suzanne C Edavettal (LifeSensors Inc ; 19355, 19355 ; Malvern, Malvern ; Pennsylvania, PA ; USA, USA) ; Yiting Lim (LifeSensors Inc ; 19355, 19355 ; Malvern, Malvern ; Pennsylvania, PA ; USA, USA) ; Peter Lim (Progenra Inc ; 19355 ; Malvern ; Pennsylvania ; USA) ; Xun Zuo (LifeSensors Inc ; 19355, 19355 ; Malvern, Malvern ; Pennsylvania, PA ; USA, USA) ; Tauseef R Butt (LifeSensors Inc ; 19355, 19355 ; Malvern, Malvern ; Pennsylvania, PA ; USA, USA)","19355 ; Malvern ; Pennsylvania ; USA ; 19355, 19355 ; Malvern, Malvern ; Pennsylvania, PA ; USA, USA ; 19355, 19355 ; Malvern, Malvern ; Pennsylvania, PA ; USA, USA ; 19355 ; Malvern ; Pennsylvania ; USA ; 19355, 19355 ; Malvern, Malvern ; Pennsylvania, PA ; USA, USA ; 19355, 19355 ; Malvern, Malvern ; Pennsylvania, PA ; USA, USA"
17063,vcxke9je,,
17064,ldh381jy,,
17065,drpoup7z,,
17066,9x3av6za,,
17067,1581wask,,
17068,u8ned7rr,,
17069,uqykia6i,,
17070,fxzv8qj8,,
17071,adnzznhe,,
17072,mr22gepe,,
17073,dvyhw0n7,,
17074,arsmynmo,,
